GRUPO;IDENTIFICADOR;CODIGO;SERVICIO
BIOLOGIA MOLECULAR;5203;;ANEMIA DE FANCONI - 18 GENES: BRCA2, BRIP1, ERCC4, FANCA, FANCB, FANCC, FANCD2, FANCE, FANCF, FANCG, FANCI, FANCL, FANCM, PALB, RAD51C, SLX4, UBE2T (18 GENES)
BIOLOGIA MOLECULAR;5205;;ANEMIA DE FANCONI - GEN FANCA - SECUENCIACION COMPLETA
BIOLOGIA MOLECULAR;5213;;ANGIOEDEMA HEREDITARIO - GEN SERPING1 - SECUENCIACION COMPLETA
BIOLOGIA MOLECULAR;5279;;ASPERGILLUS SP DNA DETECCION
BIOLOGIA MOLECULAR;5282;;ATAXIA DE FRIEDREICH - GEN FXN - SECUENCIACION COMPLETA.
BIOLOGIA MOLECULAR;5291;;ATAXIA PANEL MOLECULAR - MENOS DE 100 GENES
BIOLOGIA MOLECULAR;5293;;ATAXIA TELANGIECTASICA (GEN ATM) - SECUENCIACION COMPLETA
BIOLOGIA MOLECULAR;5294;;ATAXIAS HEREDITARIAS - 94 GENES: ABCB7, ABHD12, ADCK3, AFG3L2, AIMP1, ANO10, APTX, ATCAY, ATM, ATP8A2, ATR, BEAN1, CACNA1A, CACNB4, CEP290, COQ2, COQ9, CYP27A1, DNAJC19, DNMT1, EEF2, ELOVL4, FAM126A, FGF14, FLVCR1, FMR1, FUS, FXN, GALC, GBA2, GOSR2, GRID2, GRM1, HEXA, HSD17B4, IFRD1, ITM2B, ITPR1, KCNA1, KCNC3, KCND3, KCNJ10, RUBCN, LYST, MRE11A, MTPAP, MTTP, NPHP1, OPA1, PAX6, PC, PDGFB, PDHA1, PDSS1, PDSS2, PDYN, PHYH, PIK3R5, PLEKHG4, PLP1, POLG, POLR3B, PRKCG, PRNP, PRS1, RPGRIP1L, SACS, SCARB2, SCN8A, SCP2, SETX, SIL1, SLC1A3, SLC20A2, SLC2A1, SLC9A6, SOD1, SPTBN2, STUB1, SYNE1, SYT14, TARDBP, TDP1, TGM6, TMEM67, TPP1, TTBK2, TTC19, TTPA, TUBB4A, VAMP1, VAPB, VLDLR, WWOX, ZNF592
BIOLOGIA MOLECULAR;5295;;ATROFIA MUSCULAR ESPINAL - 6 GENES: SMN1, SMN2, TRPV4, VAPB, DYNC1H1, ATP7A
BIOLOGIA MOLECULAR;5298;;ATROFIA MUSCULAR ESPINAL: ESTUDIO DIAGNOSTICO GEN SMN1-SMN2.
BIOLOGIA MOLECULAR;5306;;BARTONELLA DNA DETECTOR
BIOLOGIA MOLECULAR;452;;BCR-ABL MONITOR
BIOLOGIA MOLECULAR;5335;;BORDETELLA PERTUSSIS DETECTOR POR PCR EN TIEMPO REAL
BIOLOGIA MOLECULAR;5336;;BORDETELLA PERTUSSIS PANEL: ANTICUERPOS. IGA -  IGG
BIOLOGIA MOLECULAR;469;;BRCA1 Y BRCA2
BIOLOGIA MOLECULAR;5346;;BRCA1 Y BRCA2 GENES, MUTACIÓN PUNTUAL CONOCIDA
BIOLOGIA MOLECULAR;5354;;BRUCELLA SPP DNA DETECTOR
BIOLOGIA MOLECULAR;5388;;CANCER  COLORRECTAL NO POLIPOSICO - GEN MLH1, MSH2 - MLPA.
BIOLOGIA MOLECULAR;462;;CANCER PROSTATA. GEN 3 (PCA3)
BIOLOGIA MOLECULAR;5420;;CARIOTIPO BANDEO G EN LIQUIDO AMNIOTICO  
BIOLOGIA MOLECULAR;5422;;CARIOTIPO BANDEO G EN SANGRE PERIFERICA 
BIOLOGIA MOLECULAR;5424;;CARIOTIPO BANDEO Q ALTA RESOLUCION EN SANGRE PERIFERICA 
BIOLOGIA MOLECULAR;5426;;CARIOTIPO BANDEO Q EN SANGRE PERIFERICA 
BIOLOGIA MOLECULAR;5428;;CARIOTIPO BANDEO R EN SANGRE PERIFERICA  
BIOLOGIA MOLECULAR;5430;;CARIOTIPO CON CONTEO DE 100 METAFASES - ALTA RESOLUCIÓN
BIOLOGIA MOLECULAR;5432;;CARIOTIPO CON CONTEO DE 50 METAFASES - CONVENCIONAL
BIOLOGIA MOLECULAR;5434;;CARIOTIPO EN BIOPSIA DE PIEL
BIOLOGIA MOLECULAR;5436;;CARIOTIPO EN RESTOS FETALES 
BIOLOGIA MOLECULAR;5438;;CARIOTIPO ESTADO LEUCEMICO
BIOLOGIA MOLECULAR;5440;;CARIOTIPO PARA CROMATIDES HERMANAS
BIOLOGIA MOLECULAR;5442;;CARIOTIPO PARA FRAGILIDAD CROMOSOMICA CON MITOMICINA C (APLASIA MEDULAR/ANEMIA DE FANCONI)
BIOLOGIA MOLECULAR;5463;;CHARCOT MARIE TOOTH DE TIPO 4 - GEN GDAP1 -SECUENCIACIÓN COMPLETA
BIOLOGIA MOLECULAR;5464;;CHARCOT MARIE TOOTH SINDROME - 48 GENES: AARS, AIFM1, ARHGEF10, DHTKD1, DNAJB2, DNM2, DYNC1H1, EGR2, FBLN5, FGD4, FIG4, GARS, GDAP1, GDAP1L1, GJB1, GNB4, HADHB, HK1, HSD17B4, HSPB1, HSPB8, IGHMBP2, INF2, KARS, KIF1B, LITAF, LMNA, LRSAM1, MARS, MED25, MFN2, MPZ, MTMR2, NDRG1, NEFL, PDK3, PLEKHG5, PMP22, PRPS1, PRX, RAB7A, SBF1, SBF2, SH3TC2, SURF1, TRIM2, TRPV4, YARS
BIOLOGIA MOLECULAR;5465;;CHARCOT MARIE TOOTH TIPO 2A2 – GEN MFN2 - SECUENCIACIÓN COMPLETA
BIOLOGIA MOLECULAR;5468;;CHLAMYDIA PNEUMONIAE: DETECCION POR PCR EN TIEMPO REAL
BIOLOGIA MOLECULAR;456;;CHLAMYDIA TRACHOMATIS DETECCION CUALITATIVA
BIOLOGIA MOLECULAR;5471;;CHLAMYDIA TRACHOMATIS DETECCIÓN POR PCR EN TIEMPO REAL (DETECTOR)
BIOLOGIA MOLECULAR;5487;;CISTINOSIS – GEN CTNS - SECUENCIACION COMPLETA
BIOLOGIA MOLECULAR;478;;CITOMEGALOVIRUS CARGA VIRAL
BIOLOGIA MOLECULAR;473;;CITOMEGALOVIRUS CARGA VIRAL POR ADN-PCR
BIOLOGIA MOLECULAR;5489;;CITOMEGALOVIRUS DNA CARGA VIRAL
BIOLOGIA MOLECULAR;5490;;CITOMEGALOVIRUS DNA DETECCION POR PCR (DETECTOR)
BIOLOGIA MOLECULAR;461;;CITOMEGALOVIRUS DNA DETECTOR
BIOLOGIA MOLECULAR;454;;CLOSTRIDIUM DIFFICILE (CEPAS027/NAP1/B1)
BIOLOGIA MOLECULAR;5501;;CLOSTRIDIUM DIFFICILE DNA DETECTOR
BIOLOGIA MOLECULAR;5567;;CUADRIPARESIA ESPASTICA ( PANEL MOLECULAR ) 11 GENES : ATL1, BSCL2, HSPD1,KIAA0196, KIF5A,NIPA1, EEP1,RTN2,SLC33A1,SPATS,ZFYVE27.
BIOLOGIA MOLECULAR;453;;ENTEROVIRUS (EV)
BIOLOGIA MOLECULAR;450;;EPSTEIN BARR VIRUS. DNA
BIOLOGIA MOLECULAR;476;;EPSTEIN BARR VIRUS.CARGA DNA ENLCR
BIOLOGIA MOLECULAR;1390;;FACTOR DE CRECIMIENTO
BIOLOGIA MOLECULAR;440;;HEPATITIS B. DNA DETECTOR
BIOLOGIA MOLECULAR;482;;HEPATITIS C. CARGA DE RNA VIRAL
BIOLOGIA MOLECULAR;472;;HERPES 1 2 3 ADN/PCR
BIOLOGIA MOLECULAR;443;;HERPES SIMPLEX VIRUS TIPO 1 DETECCIÒN CUALITATIVA
BIOLOGIA MOLECULAR;475;;HERPES SIMPLEX VIRUS TIPO I/II ANTICUERPOS EN LCR
BIOLOGIA MOLECULAR;444;;HERPES SIMPLEX VIRUS TIPO II DETECCION CUALITATIVA
BIOLOGIA MOLECULAR;445;;HERPES VIRUS SIMPLEX  TIPO I/II
BIOLOGIA MOLECULAR;468;;HERPES VIRUS TIPO 6. DNA DETECTOR
BIOLOGIA MOLECULAR;442;;HISTOCOMPATIBILIDAD HLA CLASE I Y II (A.B.DR)
BIOLOGIA MOLECULAR;6058;;HISTOPLASMA CAPSULATUM DNA DETECCION
BIOLOGIA MOLECULAR;1063;;HIV DIAGNOSTICO PCR
BIOLOGIA MOLECULAR;6065;;HIV-1 GENOTIPO  R PLUS ( INHIBIDOR DE TRANSCRIPTASA Y PROTEASA)
BIOLOGIA MOLECULAR;6066;;HLA A29 POR PCR
BIOLOGIA MOLECULAR;6067;;HLA B POR PCR
BIOLOGIA MOLECULAR;6068;;HLA B12 POR PCR
BIOLOGIA MOLECULAR;448;;HLA B27  (PCR)
BIOLOGIA MOLECULAR;6069;;HLA B40 POR PCR
BIOLOGIA MOLECULAR;6071;;HLA B47 POR PCR
BIOLOGIA MOLECULAR;466;;HLA-DR ALTA RESOLUCION
BIOLOGIA MOLECULAR;439;;JAK-2
BIOLOGIA MOLECULAR;1045;;LEISHMANIA( PCR)
BIOLOGIA MOLECULAR;441;;LINFOCITOS T CD3/CD4/CD8/CD45
BIOLOGIA MOLECULAR;467;;METILENOTETRAHIDROFOLATO REDUCTASA (MTHFR)
BIOLOGIA MOLECULAR;486;;MUTACION DE LA PROTROMBINA G20210A
BIOLOGIA MOLECULAR;464;;MYCOBACTERIUM TB DNA
BIOLOGIA MOLECULAR;471;;NEUMOCOCCUS POR PCR
BIOLOGIA MOLECULAR;7987;;PANEL DE INFECCIONES RESPIRATORIAS PLUS (INFLUENZA A , INFLUENZA B, INFLUENZA RSV, SARCS COV2)
BIOLOGIA MOLECULAR;437;;PANEL PARA ENFERMEDADES DE TRANSMISION SEXUAL (ETS)
BIOLOGIA MOLECULAR;484;;PAPILOMA HUMANO VIRUS DETECCION 36 GENOTIPOS
BIOLOGIA MOLECULAR;5337;;PCR PANEL DE INFECCIONES RESPIRATORIAS: BORDETELLA PERTUSSI, PARAPERTUSSI, MYCOPLASMA PNEUMONIAE, CHLAMYDIA PNEUMONIAE, LEGIONELLA NEUMÓPHILA, HAEMÓPHILUS INFLUENZA, STREPTOCOCCUS PNEUMONIAE, CORONAVIRUS
BIOLOGIA MOLECULAR;474;;PNEUMOCYSTIS JEROVECI AG
BIOLOGIA MOLECULAR;1795;;PRUEBA NASOFARINGEO COVID
BIOLOGIA MOLECULAR;481;;PRUEBA PRENATAL NO INVASIVA-NEOBONA ADVANCED (NIPT)
BIOLOGIA MOLECULAR;455;;STAPHY AUREUS  RESISTENTES A METICILINA (MRSA) S/B
BIOLOGIA MOLECULAR;446;;STAPHYLOCOCOS AURES RESITENTES A METICILINA (MRSA)
BIOLOGIA MOLECULAR;470;;STREPTOCOCCUS AGALACTIAE POR PCR
BIOLOGIA MOLECULAR;451;;STREPTOCOCOS GRUPO B (GBS)
BIOLOGIA MOLECULAR;463;;TOXOPLASMA  DNA DETECCIÓN CUALITATIVA
BIOLOGIA MOLECULAR;961;;TOXOPLASMA GONDI DNA DETECTOR
BIOLOGIA MOLECULAR;479;;VARICELA ZOSTER VIRUS
BIOLOGIA MOLECULAR;483;;VIRUS HEPATITIS B. CARGA  DE DNA VIRAL
COLCAN;5071;;ACETAMINOFEN: NIVELES SERICOS
COLCAN;7215;;ACIDEMIA ISOVALERICA – GEN IVD -  SECUENCIACION COMPLETA
COLCAN;5103;;ACIDO MICOFENOLICO   (MICOFENOLATO)
COLCAN;5111;;ACIDO VALPROICO LIBRE
COLCAN;7442;;ACIDURIA 2-HIDROXIGLUTARICA – GEN D2HGDH - MLPA
COLCAN;7515;;ACONDROPLASIA - MUTACION GEN FGFR3 (G1138A).
COLCAN;7220;;ADRENOLEUCODISTROFIA - GEN  ABCD1 - SECUENCIACION COMPLETA.
COLCAN;7221;;ALBINISMO OCULOCUTANEO TIPO 1 – GEN TYR – SECUENCIACION COMPLETA
COLCAN;5149;;ALCALOIDES SCREENING:  (ANFETAMINAS, COCAINA ,  OPIACEOS )
COLCAN;5150;;ALCOHOL ETILICO CUANTITATIVO (MICRODIFUSION)
COLCAN;5151;;ALCOHOL METILICO CUALITATIVO
COLCAN;7607;;ALPORT SINDROME - 4 GENES: COL4A4, COL4A3, COL4A5, COL4A6
COLCAN;5182;;AMIKACINA: NIVELES SERICOS
COLCAN;7444;;ANEMIA DE FANCONI - GEN FANCA - MLPA
COLCAN;7223;;ANEMIA DE FANCONI - GEN FANCC - SECUENCIACION COMPLETA
COLCAN;7610;;ANEURISMA DE AORTA TORÁCICA FAMILIAR SECUNDARIO A LOS SINDROMES DE MARFAN, LOEYS-DIETZ, BEALS Y EHLERS-DANLOS TIPO IV - 6 GENES: COL3A1, FBN1, FBN2 SMAD3, TGFBR1, TGFBR2
COLCAN;5212;;ANFETAMINAS: CUALITATITVAS
COLCAN;7611;;ARRITMIA FAMILIAR - 70 GENES: ABCC9, AKAP9, ANK2, BAG3, CACNA1B, CACNA1C, CACNA1D, CACNA2D1, CACNB2, CASQ2, CAV3, CRYAB, DES, DPP6, DSC2, DSG2, DSP, FLNC, GJA1, GJA5, GPD1L, HCN1, HCN4, JUP, KCNA5, KCND3, KCNE1, KCNE2, KCNE3, KCNE4, KCNE5, KCNH2, KCNJ11, KCNJ2, KCNJ3, KCNJ5, KCNQ1, KCNQ2, LDB3, MYOT, NPPA, PKP2, PKP4, PNN, RANGRF, RPSA, RYR2, SCN1B, SCN3B, SCN3B, SCN4B, SCN5A, SCN10A, SCNN1B, SCNN1G, SNTA1, TGFB3, TMEM43, TRPM4, TTN
COLCAN;7226;;ARTROGRIPOSIS DISTAL TIPO 2B – GEN  TPM2  - SECUENCIACION COMPLETA
COLCAN;5280;;ASPIRINA RESISTENCIA ( 11-DESHIDROTROMBOXANO B2 )
COLCAN;7227;;ATAXIA APRAXIA OCULOMOTORA - GEN APTX - SECUENCIACION COMPLETA
COLCAN;7445;;ATAXIA DE FRIEDREICH , DELECIONES-DUPLICACIONES (MLPA) GEN FXN
COLCAN;7554;;ATAXIA ESPINOCEREBELOSA (SCA) TIPO 3 - ATXN3. DETECCIÓN EXPANSIÓN CAG MEDIANTE PCR
COLCAN;7548;;ATAXIA ESPINOCEREBELOSA TIPO 1, SCA1  (ATXN1) - DETECCION EXPANSION CAG MEDIANTE PCR
COLCAN;7555;;ATAXIA ESPINOCEREBELOSA, PANEL 2 (SCA1, SCA2, SCA3, SCA6, SCA7, SCA10) SCREENING
COLCAN;7612;;ATAXIA TELANGIECTASIA - 3 GENES: ATM, ATR, MRE11A
COLCAN;7230;;ATROFIA MUSCULAR ESPINAL - GEN SMN1 - SECUENCIACION.
COLCAN;7446;;ATROFIA MUSCULAR ESPINAL GENES SMN1 - SMN2, ANÁLISIS POR MLPA 
COLCAN;7615;;ATROFIA OPTICA - 20 GENES: OPA1, OPA3, OCA2, AUH, DNA2, CISD2, MFN2, MTPAP, NDUFS1, POLG, REEP1, RRM2B, SLC19A3, SLC25A4, SPG7, TIMM8A, TK2, TMEM126A, TYMP, WFS1
COLCAN;7616;;BLEFAROFIMOSIS, PTOSIS Y EPICANTO INVERSO SINDROME - 7 GENES: ACTB, ACTG1, DHCR7, FOXL2, KAT6B, MED12, UBE3B
COLCAN;7617;;BRCA1 Y BRCA2 - 2 GENES: BRCA1 Y BRCA2
COLCAN;7499;;BRCA1 Y BRCA2 GENES, SECUENCIACIÓN Y DELECIÓN / DUPLICACIÓN
COLCAN;7618;;BRUGADA SINDROME - 13 GENES: CACNA1C, CACNB2, GPD1L, HCN4, KCND3, KCNE3, KCNE5, KCNJ8, RANGRF, SCN1B, SCN2B, SCN3B, SCN5A
COLCAN;7417;;CADASIL (ARTERIOPATÍA CEREBRAL CON INFARTOS SUBCORTICALES Y LEUCOENCEFALOPATÍA) – GEN NOTCH3 - SECUENCIACIÓN COMPLETA
COLCAN;5375;;CAFEINA
COLCAN;7620;;CANCER COLORECTAL HEREDITARIO NO ASOCIADO A POLIPOS - 8 GENES: MLH1, MSH2, MSH6, BUB1, EPCAM, PMS1, POLD1, POLE
COLCAN;7418;;CANCER COLORRECTAL HEREDITARIO NO POLIPÓSICO  (HNPCC)- GEN MSH6 -  SECUENCIACIÓN COMPLETA.
COLCAN;7233;;CANCER DE MAMA - GEN BRCA1  Y BRCA2 -  SECUENCIACION COMPLETA.
COLCAN;7448;;CANCER DE MAMA FAMILIAR BRCA1 Y BRCA2 - MLPA . (REARREGLOS BART)
COLCAN;7622;;CANCER DE PROSTATA - 7 GENES: ATM, BRCA1, BRCA2, CHEK2, HOXB13, MSR1, PALB2
COLCAN;7234;;CANCER GÁSTRICO FAMILIAR -  GEN CDH1 - SECUENCIACION COMPLETA.
COLCAN;5411;;CARBAMAZEPINA LIBRE
COLCAN;5412;;CARBAMAZEPINA: NIVELES SÉRICOS
COLCAN;7437;;CARCINOMA MEDULAR DE TIROIDES FAMILIAR - GEN RET - SECUENCIACIÓN
COLCAN;7673;;CENTONIPT - CENTOGENE 
COLCAN;7582;;C-GEN ONCO 8 - PANEL DE CANCER HEREDO - FAMILIAR
COLCAN;7235;;CHARCOT MARIE TOOTH 34 GENES - SECUENCIACION  COMPLETA.
COLCAN;7450;;CISTINOSIS – GEN CTNS - MLPA
COLCAN;7237;;CITRULINEMIA DE INICIO TARDIO TIPO II – GEN SLC25A13 - SECUENCIACION COMPLETA
COLCAN;5498;;CLOBAZAM (URBADAN): NIVELES SÉRICOS
COLCAN;5499;;CLONAZEPAM (RIVOTRIL): NIVELES SÈRICOS
COLCAN;5500;;CLORPROMAZINA (LARGACTIL/THORAZINE)
COLCAN;5510;;COCAINA CUANTITATIVA EN SUERO
COLCAN;7625;;COLAGENOPATIAS - 7 GENES: COL6A3, COL6A1, COL6A2, COL12A1, COL11A2, COL1A1, Y COL3A1 
COLCAN;7238;;CONDRODISPLASIA METAFISARIA TIPO SCHMID -  GEN COL10A1 - SECUENCIACION COMPLETA
COLCAN;5523;;CONEXINA EVALUACIÓN - GEN GJB2 (CONEXINA 26)  Y GEN GJB6 (CONEXINA 30)
COLCAN;7626;;CORNELIA DE LANGE SINDROME - 5 GENES: HDAC8, NIPBL, RAD21, SMC1A, SMC3
COLCAN;7627;;COSTELLO SINDROME - 5 GENES: BRAF, HRAS, KRAS, MAP2K1, MAP2K2
COLCAN;7239;;DEFICIENCIA BIOTINIDASA – GEN BTD - SECUENCIACION COMPLETA.
COLCAN;7434;;DEFICIENCIA DEL COMPLEJO IV MITOCONDRIAL - GEN FASTKD2 - SECUENCIACIÓN COMPLETA.
COLCAN;7241;;DEFICIT DE CARNITINA PALMITOILTRANSFERASA II - GEN  CPT2 -  SECUENCIACION COMPLETA
COLCAN;7243;;DEFICIT DE SURFACTANTE PULMONAR - GEN SFTPB - SECUENCIACION COMPLETA
COLCAN;7629;;DIABETES MODY TIPO II - 3 GENES: HNF4A, GCK, HNF1A
COLCAN;5603;;DIGITOXINA
COLCAN;5604;;DIGOXINA
COLCAN;7601;;DISCAPACIDAD COGNITIVA AUTOSOMICA RECESIVA  ( PANEL MOLECULAR ) - MENOS DE 100 GENES.
COLCAN;5608;;DISCAPACIDAD INTELECTUAL LIGADA A X - 86 GENES: ACSL4, AFF2, AP1S2, ARHGEF9, ARX, ATP6AP2, ATP7A, ATRX, BCOR, BRWD3, CASK, CCDC22, CDK16, CDKL5, CLIC2, CNKSR2, CUL4B, DCX, DKC1, DLG3, FANCB, FGD1, FLNA, FMR1, FRMPD4, FTSJ1, GDI1, GK, GPC3, GRIA3, HCCS, HCFC1, HPRT1, HSD17B10, HUWE1, IDS, IGBP1, IL1RAPL1, IQSEC2, KDM5C, KIAA2022, KLF8, L1CAM, LAMP2, MAOA, MBTPS2, MECP2, MED12, MID1, NAA10, NDP, NDUFA1, NHS, NLGN3, NLGN4X, NSDHL, OCRL, OFD1, OPHN1, OTC, PAK3, PDHA1, PGK1, PHF6, PHF8, PLP1, PORCN, PQBP1, PRPS1, PTCHD1, RAB39B, RBM10, RPS6KA3, SHROOM4, SLC16A2, SLC9A6, SMC1A, SMS, SOX3, SYN1, SYP, TIMM8A, TSPAN7, UBE2A, UPF3B, ZDHHC15, ZDHHC9 Y ZNF711
COLCAN;7631;;DISFUNCION DEL METABOLISMO DE LA TIAMINA Y MICROCEFALIA - 7 GENES: NUP62, RARS2, SLC19A2, SLC19A3, SLC25A12, SLC25A19, TPK1
COLCAN;5610;;DISGENESIA GONADAL – GEN NR5A1 - SECUENCIACIÓN COMPLETA  (SÍNDROME DE SWYER).
COLCAN;5611;;DISOPIRAMIDA EN SUERO
COLCAN;7632;;DISOSTOSIS ESPONDILOCOSTAL - 3 GENES: DLL3, MESP2 Y LFNG
COLCAN;5613;;DISPLASIA  SEPTO-OPTICA - GEN HESX1 - SECUENCIACION COMPLETA.
COLCAN;7633;;DISPLASIA ARRITMOGENICA DE VENTRICULO DERECHO - 3 GENES: JUP, DSC2 Y DSP
COLCAN;5615;;DISPLASIA CAMPOMELICA – GEN SOX9 – MLPA
COLCAN;7245;;DISPLASIA CAMPOMÉLICA - GEN SOX9 - SECUENCIACION COMPLETA.
COLCAN;5617;;DISPLASIA CRANEOFRONTONASAL - GEN EFNB1 -SECUENCIACION COMPLETA
COLCAN;7452;;DISPLASIA CRANEOFRONTONASAL- GEN EFNB1 - MLPA.
COLCAN;5619;;DISPLASIA ECTODÉRMICA - SINDACTILIA - GEN NECTIN4 - SECUENCIACION COMPLETA
COLCAN;7453;;DISPLASIA ECTODERMICA ANHIDROTICA LIGADA AL X, SÍNDROME DE CHRIST-SIEMENS-TOURAINE - GEN EDA - MLPA
COLCAN;5621;;DISPLASIA ECTODÉRMICA ANHIDRÓTICA LIGADA AL X, SÍNDROME DE CHRIST-SIEMENS-TOURAINE - GEN EDA - SECUENCIACION COMPLETA
COLCAN;7634;;DISPLASIA EPIFISIARIA MULTIPLE - 5 GENES: COMP, MATN3, COL9A2, COL9A3 Y COL9A1
COLCAN;5623;;DISPLASIA ESQUELETICA - 6 GENES: COL2A1, SLC26A2, FGFR3, LEPRE1, CRTAP Y SOX9
COLCAN;7602;;DISPLASIA ESQUELETICA ( PANEL MOLECULAR ) MENOS DE 100 GENES
COLCAN;5625;;DISPLASIA INMUNO ÓSEA DE SCHIMKE - GEN SMARCAL1 - SECUENCIACION COMPLETA
COLCAN;7250;;DISPLASIA ODONTO-ÓNICO-DÉRMICA - GEN WNT10A - SECUENCIACION COMPLETA
COLCAN;5627;;DISPLASIAS ECTODERMICAS DE 12 GENES: CDH3, EDA, EDA2R, EDAR, EDARADD, GJB6, IKBKG, MSXJ, NFKBIA, TP63, TRAF6 Y WNT10A. SECUENCIACION.
COLCAN;7454;;DISQUINESIA CILIAR PRIMARIA - GEN DNAH5 - MLPA.
COLCAN;5629;;DISQUINESIA CILIAR PRIMARIA - GEN DNAH5 - SECUENCIACION COMPLETA.
COLCAN;7428;;DISTONIA - GEN DYT1 - SECUENCIACIÓN COMPLETA.
COLCAN;5631;;DISTONIA - GEN TOR1A - SECUENCIACION COMPLETA
COLCAN;7254;;DISTONIA TIPO 16 – GEN PRKRA – SECUENCIACION COMPLETA
COLCAN;5633;;DISTONÍA TIPO 5 - GEN GCH1 - SECUENCIACION COMPLETA
COLCAN;7500;;DISTONIA TIPO 6 - GEN THAP1-MLPA 
COLCAN;7552;;DISTROFIA MIOTONICA TIPO 2 - GEN CNBP (ZNF9). (DETECCIÓN DE LA EXPANSIÓN CCTG MEDIANTE PCR).
COLCAN;7636;;DISTROFIA MUSCULAR CONGENITA CON DEFICIT DE MEROSINA - 7 GENES: LAMA2, CHKB, ITGA7, LMNA, PABPN1, PLEC, SEPN1
COLCAN;7501;;DISTROFIA MUSCULAR DE CINTURAS TIPO 2A (CALPAINOPATÍA) - GEN CAPN3 - MLPA
COLCAN;7455;;DISTROFIA MUSCULAR DE CINTURAS TIPO 2B - GEN DYSF - MLPA
COLCAN;7518;;DISTROFIA MUSCULAR DE DUCHENNE - BECKER ANÁLISIS DE LA MUTACIÓN C.2353C>T EN EL GEN DMD
COLCAN;7256;;DISTROFIA MUSCULAR DE DUCHENNE - BECKER. GEN DMD. SECUENCIACION COMPLETA.
COLCAN;7257;;DISTROFIA MUSCULAR DE EMERY-DREIFUSS TIPO 5 - GEN SYNE2 - SECUENCIACION COMPLETA
COLCAN;7424;;DISTROFIA MUSCULAR FACIOESCAPULOHUMERAL (D4Z4)
COLCAN;5654;;DOPAMINA EN PLASMA
COLCAN;5656;;DROGAS DE ABUSO SCREENING (6 DROGAS): METANFETAMINAS, OPIACEOS, MARIHUANA, ANFETAMINAS, COCAINA, BENZODIAZEPINAS.                                                                                                                                                    
COLCAN;5657;;DROGAS DE ABUSO SCREENING (8 DROGAS): METANFETAMINAS, OPIACEOS, MARIHUANA, ANFETAMINAS, COCAINA, BENZODIAZEPINAS, FENOTIACINAS, BARBITURICOS                                                                                                                         
COLCAN;5658;;DSA (DONOR SPECIFIC ANTIBODIES) POR
COLCAN;5663;;ECHOVIRUS ANTICUERPOS EN SUERO - SEROTIPOS 4,7,9,11,30
COLCAN;7641;;EHLER-DANLOS SINDROME - 9 GENES: COL5A1. COL5A2, COL1A1, TNXB, COL1A2, COL3A1, ADAMTS2, PLOD1, FKBP14
COLCAN;5669;;EHRLICHIA CHAFFEENSIS DNA TIEMPO REAL
COLCAN;7258;;ENCEFALOPATIA RELACIONADA A GLICINA  – GEN  GLDC  - SECUENCIACION 
COLCAN;5679;;ENCEFALOPATIA SUSTANCIA BLANCA EVANESCENTE – GEN EIF2B2 - SECUENCIACION COMPLETA.
COLCAN;7260;;ENFERMEDAD ALEXANDER -  GEN GFAP - SECUENCIACION COMPLETA.
COLCAN;5684;;ENFERMEDAD ALZHEIMER - GENES: APOE, APP, PSEN1, PSEN2 - SECUENCIACION 
COLCAN;5685;;ENFERMEDAD BLACKFAN-DIAMOND - GEN RPS19 - SECUENCIACION COMPLETA
COLCAN;5687;;ENFERMEDAD DE PAGET - 3 GENES: SQSTM1, TNFRSF11A, TNFRSF11B
COLCAN;5688;;ENFERMEDAD DE TANGIER - GEN ABCA1 - SECUENCIACIÓN COMPLETA 
COLCAN;5689;;ENFERMEDAD FABRY - GEN GLA - SECUENCIACION COMPLETA.
COLCAN;5690;;ENFERMEDAD FACTOR VON WILLEBRAND - GEN VWF - SECUENCIACIÓN COMPLETA.
COLCAN;5691;;ENFERMEDAD GAUCHER – GEN  GBA - SECUENCIACIÓN COMPLETA
COLCAN;5692;;ENFERMEDAD GAUCHER , ANALISIS DNA MUTACION DEL GBA
COLCAN;5693;;ENFERMEDAD GRANULOMATOSA CRONICA   – GEN CYBA - SECUENCIACION COMPLETA.
COLCAN;5694;;ENFERMEDAD GRANULOMATOSA CRONICA - GEN NCF2- SECUENCIACION COMPLETA.
COLCAN;5698;;ENFERMEDADES NEURODEGENERTIVAS - 24 GENES: LRRK2, PARK2, PARK7, PINK1, ATP13A2, ATP1A3, EIF4G1, FBXO7, GBA, GIGYF2, HTRA2, PLA2G6, POLG, SNCA, SNCAIP, UCHL1, VPS35, FIG4, FUS, SETX, ALS2, ANG, DCTN1 Y VAPB
COLCAN;5701;;ENTEROVIRUS DETECCION POR PCR  (MATERIA FECAL)
COLCAN;5702;;ENTEROVIRUS DETECCION POR PCR  (MUESTRA RESPIRATORIA)
COLCAN;5703;;ENTEROVIRUS DETECCION POR PCR ( PLASMA CON EDTA, SANGRE TOTAL, LCR)
COLCAN;5706;;EPAMIN (FENITOINA): NIVELES SERICOS
COLCAN;5707;;EPILEPSIA - 13 GENES: ARHGEF9, BCKDK, CNTNAP2, DLG1, DLGAP2, GRIN2A, KCNJ10, MEF2C, SLC4A10, SNIP1, SRPX2, STXBP1, Y SYN1. 
COLCAN;5708;;EPILEPSIA - 409 GENES: PANEL DE SECUENCIACIÓN DE SIGUIENTE GENERACIÓN (NGS) 
